V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
401906,1,95,7,(2) 2. Republican,4,12,5,1,86
401909,15,85,5,(3) 3. Independent,4,8,19,50,50
401910,1,87,4,(3) 3. Independent,NA,9,15,17,61
401911,9,10,6,(2) 2. Republican,5,14,27,30,30
401914,30,70,4,(3) 3. Independent,,9,11,50,50
401915,89,0,1,(1) 1. Democrat,3,13,24,84,2
401916,50,51,4,(3) 3. Independent,4,11,9,50,51
401917,0,100,7,(2) 2. Republican,,11,1,0,100
401918,0,0,4,(5) 5. Other party SPECIFY,4,10,16,0,0
401919,41,50,6,(2) 2. Republican,,9,24,50,71
401920,8,65,7,(2) 2. Republican,3,11,3,35,88
401922,70,15,1,(1) 1. Democrat,2,13,26,100,0
401923,18,85,7,(2) 2. Republican,,14,,30,70
401924,80,1,2,(1) 1. Democrat,NA,10,9,87,1
401926,85,0,3,(3) 3. Independent,,14,,85,0
401928,50,50,4,(5) 5. Other party SPECIFY,4,14,9,50,50
401931,0,40,5,(3) 3. Independent,6,10,8,0,85
401938,30,0,4,(3) 3. Independent,,9,11,2,20
401940,0,60,6,(2) 2. Republican,6,11,23,30,60
401941,60,70,4,(3) 3. Independent,4,10,21,60,70
401943,0,100,6,(2) 2. Republican,6,12,16,30,70
401945,30,60,4,(3) 3. Independent,4,5,12,60,40
401949,0,100,7,(2) 2. Republican,,9,20,0,70
401950,70,0,1,(1) 1. Democrat,2,13,7,60,40
401958,61,3,2,(1) 1. Democrat,4,14,26,72,31
401959,50,50,1,(1) 1. Democrat,2,13,2,70,60
401968,30,30,4,(3) 3. Independent,,13,28,30,30
401971,50,15,2,(1) 1. Democrat,,9,16,50,50
401972,0,70,7,(2) 2. Republican,6,11,21,0,60
401973,75,1,2,(1) 1. Democrat,3,16,28,60,40
401976,1,62,6,(2) 2. Republican,6,12,26,32,64
401978,72,0,1,(1) 1. Democrat,1,14,27,88,1
401982,72,2,2,(1) 1. Democrat,2,10,24,83,2
401985,63,2,1,(1) 1. Democrat,4,9,1,97,5
401989,100,0,1,(1) 1. Democrat,NA,9,3,50,0
401991,30,70,7,(2) 2. Republican,,13,21,40,60
401993,61,1,1,(1) 1. Democrat,2,9,18,56,0
401997,60,0,2,(1) 1. Democrat,5,11,7,85,15
401998,60,0,2,(1) 1. Democrat,,13,,85,50
402001,85,30,1,(1) 1. Democrat,4,11,6,85,50
402002,5,95,5,(3) 3. Independent,,11,28,30,60
402003,30,60,5,(3) 3. Independent,6,14,21,30,60
402012,16,41,6,(2) 2. Republican,,10,1,32,61
402013,50,50,3,(3) 3. Independent,NA,6,3,60,50
402016,20,60,7,(2) 2. Republican,6,10,11,10,70
402017,0,30,4,(3) 3. Independent,NA,9,22,50,50
402018,85,0,3,(3) 3. Independent,,15,28,85,40
402019,85,60,1,(1) 1. Democrat,4,16,2,85,70
402030,77,0,2,(1) 1. Democrat,,13,21,87,43
402033,0,50,5,(3) 3. Independent,,10,,30,30
402036,62,4,2,(1) 1. Democrat,3,13,15,66,34
